# x y z sld
17.796492 -6.907546 0.270097 -1.000000
-3.579735 19.146281 -22.023443 -1.000000
-4.567958 19.222517 -15.616041 -1.000000
-6.952834 -19.622924 1.029182 -1.000000
-8.144320 -12.354598 25.680955 -1.000000
9.207481 6.838497 -18.478183 -1.000000
4.750604 -5.346524 14.972700 -1.000000
7.236154 8.319504 11.594194 -1.000000
-12.147070 14.753889 -12.242268 -1.000000
-27.882311 7.562402 -1.872998 -1.000000
11.195882 -25.547872 -10.022388 -1.000000
14.157466 -16.691692 15.395644 -1.000000
11.696539 -0.496128 -22.324325 -1.000000
-1.344200 15.496749 25.524529 -1.000000
-28.541801 5.847349 -6.775569 -1.000000
-23.271957 -9.223149 -7.313234 -1.000000
-19.433860 9.156366 -6.105598 -1.000000
6.494977 -27.510169 -8.715479 -1.000000
-17.560377 8.424850 22.648839 -1.000000
10.510638 -3.861078 -3.676350 -1.000000
1.903146 9.294209 1.771171 -1.000000
7.869704 -19.223816 16.709665 -1.000000
12.155169 19.208950 13.715246 -1.000000
-12.448744 -9.734077 6.756263 -1.000000
-21.620062 -4.190673 12.686652 -1.000000
-1.500645 10.588805 0.069573 -1.000000
-8.303495 -2.466519 -28.664733 -1.000000
4.976521 4.289856 24.681963 -1.000000
11.394640 5.887332 1.227841 -1.000000
-13.841970 -16.970493 -7.034997 -1.000000
14.027502 18.576862 15.501290 -1.000000
2.861847 21.731970 16.291750 -1.000000
-7.727637 12.548035 19.241850 -1.000000
-13.714820 1.710812 -21.944143 -1.000000
7.508121 -23.445521 1.152530 -1.000000
-2.546471 -12.237736 -22.127592 -1.000000
21.466514 -18.029052 -3.001613 -1.000000
-0.396959 16.002178 -4.829967 -1.000000
-14.069526 -3.774532 1.145348 -1.000000
13.073096 -7.656859 14.888153 -1.000000
-10.017854 21.836054 -2.752228 -1.000000
-20.140299 2.293084 -20.295765 -1.000000
28.930653 1.924926 6.450562 -1.000000
-24.060791 7.232882 -9.866674 -1.000000
15.183017 -0.614700 7.353556 -1.000000
-12.846593 11.663919 -7.131729 -1.000000
-3.496195 -24.232250 8.241608 -1.000000
14.950612 0.568807 15.947028 -1.000000
2.262767 6.906240 25.211026 -1.000000
10.138134 21.714757 17.141581 -1.000000
5.562281 -9.738771 -8.000946 -1.000000
24.162527 -9.604240 12.246173 -1.000000
22.376564 3.303507 16.509811 -1.000000
-4.656927 -9.996454 -23.982822 -1.000000
27.861678 -0.185956 -9.461784 -1.000000
-1.546992 -3.168448 -27.566576 -1.000000
-18.264714 14.303611 1.048794 -1.000000
-18.343889 2.481754 -17.548824 -1.000000
2.287840 0.270767 -25.479743 -1.000000
-5.642672 -1.031549 -23.901295 -1.000000
4.130878 -22.086864 18.595519 -1.000000
7.511557 -2.855143 8.064853 -1.000000
-9.439389 3.156490 27.415507 -1.000000
12.216318 1.355116 13.382770 -1.000000
22.043012 5.467400 16.899341 -1.000000
17.383910 2.095222 2.302989 -1.000000
-11.731504 24.140536 10.618348 -1.000000
-3.396137 -6.663652 -7.850698 -1.000000
-2.925908 -18.579508 15.418208 -1.000000
0.838108 -13.429378 -21.972420 -1.000000
-17.873898 17.082500 6.478202 -1.000000
26.710149 -2.903375 11.503137 -1.000000
15.632172 -17.396311 -2.356550 -1.000000
